1,Josh Allen,19,17,4407,36,763,6,0,0,0,23.68,2021,25,BUF,17,17,409,646,237,63.3,4407,36,15,,5.6,2.3,92.2,26,164,3.87,6.8,6.89,6.38,10.8,259.2,11,6,0,,,402.6,402.58,23.68,23.68,122,763,6.3,6,44.9,0,0,0,,0,0.0,,,19,6,0,0,,0,0,,2,0,40,QB
2,Justin Herbert,18,17,5014,38,302,3,0,0,0,22.40,2021,23,LAC,17,17,443,672,229,65.9,5014,38,15,3,5.7,2.2,97.7,31,214,4.41,7.5,7.59,6.95,11.3,294.9,9,8,0,5,5,380.8,380.76,22.40,22.40,63,302,4.8,3,17.8,0,0,0,,0,0.0,,,18,3,0,0,,0,0,,1,0,20,QB
3,Cooper Kupp,18,17,0,0,18,0,1947,16,0,17.32,2021,28,LAR,17,17,0,1,1,0.0,0,0,0,,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,,,,,,294.5,439.50,17.32,25.85,4,18,4.5,0,1.1,191,145,1947,13.4,16,114.5,75.9,10.2,18,16,0,0,,0,0,,1,0,98,WR
4,Patrick Mahomes,18,17,4839,37,381,2,0,0,0,21.28,2021,26,KAN,17,17,436,658,222,66.3,4839,37,13,1,5.6,2.0,98.5,28,146,4.08,7.4,7.59,7.07,11.1,284.6,12,5,0,3,3,361.7,361.66,21.28,21.27,66,381,5.8,2,22.4,0,0,0,,0,0.0,,,18,2,0,0,,0,0,,1,0,14,QB
5,Jalen Hurts,17,15,3144,16,784,10,0,0,0,20.81,2021,23,PHI,15,15,265,432,167,61.3,3144,16,9,1,3.7,2.1,87.2,26,150,5.68,7.3,7.08,6.35,11.9,209.6,8,7,0,2,2,312.2,312.16,20.81,20.81,139,784,5.6,10,52.3,1,0,0,,0,0.0,0.0,0.0,17,10,0,0,,0,0,,0,0,60,QB
6,Jonathan Taylor,17,17,0,0,1811,18,360,2,0,19.59,2021,22,IND,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,333.1,373.10,19.59,21.95,332,1811,5.5,18,106.5,51,40,360,9.0,2,21.2,78.4,7.1,17,20,0,0,,0,0,,0,0,120,RB
7,Tom Brady,16,17,5316,43,81,2,0,0,0,22.04,2021,44,TAM,17,17,485,719,234,67.5,5316,43,12,2,6.0,1.7,102.1,22,144,2.97,7.4,7.84,7.41,11.0,312.7,13,4,0,3,5,374.7,374.74,22.04,22.04,28,81,2.9,2,4.8,0,0,0,,0,0.0,,,16,2,0,0,,0,0,,0,0,12,QB
8,Kyler Murray,16,14,3787,24,423,5,7,0,0,21.46,2021,24,ARI,14,14,333,481,148,69.2,3787,24,10,1,5.0,2.1,100.6,31,286,6.05,7.9,7.94,6.90,11.4,270.5,9,5,0,1,1,300.5,300.48,21.46,21.46,88,423,4.8,5,30.2,0,0,7,,0,0.5,,,16,5,0,0,,0,0,,0,0,30,QB
9,Davante Adams,15,16,0,0,0,0,1553,11,0,13.83,2021,29,GNB,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,221.3,344.30,13.83,21.52,0,0,,0,0.0,169,123,1553,12.6,11,97.1,72.8,9.2,15,11,0,0,,0,0,,0,0,66,WR
10,Joe Burrow,15,16,4611,34,118,2,0,0,0,19.64,2021,25,CIN,16,16,366,520,154,70.4,4611,34,14,2,6.5,2.7,108.3,51,370,8.93,8.9,8.96,7.51,12.6,288.2,10,6,0,2,3,314.2,314.24,19.64,19.64,40,118,3.0,2,7.4,0,0,0,,0,0.0,,,15,2,0,0,,0,0,,0,0,12,QB
